potholes:
         |   x   |   y   |
    ---------------------
*   | 01 |  1.14 |  0.10 |
*   | 02 |  1.16 | -0.45 |
*   | 03 |  0.84 | -0.08 |
*   | 04 |  0.77 | -0.86 |
*   | 05 |  0.65 | -1.02 |
*   | 06 |  0.29 |  0.03 |
*   | 07 |  0.16 | -0.03 |
*   | 08 | -0.02 | -0.85 |
*   | 09 | -0.12 |  0.04 |
*   | 10 | -0.17 | -0.63 |
*   | 11 | -0.26 | -0.17 |
*   | 12 | -0.34 | -0.98 |
*   | 13 | -0.60 | -1.04 |
*   | 14 | -0.65 | -0.19 |
*   | 15 | -0.74 |  0.14 |
*   | 16 | -1.02 | -0.91 |
*   | 17 | -1.10 | -0.81 |
*   | 18 | -1.14 | -0.25 |
