                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3891,                 9.1279,                 1.5663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                   2.11,                 7.9443,                 1.4681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.6589,                 2.8546,                 1.1738,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.5694,                 1.7529,                 1.1203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032338,             0.00032338,             0.00032338
                      5,                  1.418,                 1.3901,                 1.0594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.4472,                 1.1876,                 1.0394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.3566,                 1.0036,                 1.0513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.4218,                 1.0119,                 1.0644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028858,             0.00028858,             0.00028858
                      9,                  1.352,                0.94653,                 1.0201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022048,             0.00022048,             0.00022048
                     10,                 1.4064,                0.87046,                 1.0576,                0.79426,                0.78261,                0.81017,                0.51789,                 1.1724,                0.92469,                0.98941,             0.00012862,             0.00012862,             0.00012862
