fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.58838,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.55865,0.01,0.00794,0.94739,0.0005,2.77848,0.73046,5.20744,0.63605,1.5,0.01523,0.73365,0.4,0.0,0.10385,0.5048,0.0,0.0,0.0,0.59351,1.0,0.0,0.0
0.51319,0.01004,0.00996,0.90901,0.00049,2.63636,0.73403,7.9892,0.49393,1.5,0.01626,0.81324,0.34317,0.0,0.1,0.45638,0.0,0.0,0.0,0.48844,0.67021,0.0,0.0
0.55793,0.0094,0.00669,0.97366,0.00049,2.77848,0.77352,5.98003,0.31007,1.69853,0.01523,0.66447,0.37753,0.0,0.09048,0.55547,0.0,0.0,0.0,0.59351,1.0,0.0,0.0
0.58178,0.01108,0.00716,0.95657,0.0005,2.77848,0.81333,6.25394,0.27581,1.36631,0.01448,0.65134,0.45084,0.0,0.09048,0.52354,0.0,0.0,0.0,0.68908,1.0,0.0,0.0
0.55736,0.00942,0.00664,0.97354,0.00049,2.77013,0.78154,5.98003,0.31182,1.7024,0.01523,0.67229,0.37534,0.0,0.09039,0.55088,0.0,0.0,0.0,0.59819,0.9987,0.0,0.0
0.54314,0.0099,0.00968,0.937,0.0005,2.98804,0.81751,7.48169,0.50765,1.51703,0.0149,0.7,0.39646,0.0,0.10034,0.52178,0.0,0.0,0.0,0.47701,0.9949,0.0,0.0
0.52273,0.00954,0.01032,0.95996,0.00049,3.22161,0.70792,7.46433,0.47267,1.33092,0.01569,0.72434,0.4,0.0,0.09319,0.54562,0.0,0.0,0.0,0.53194,1.0,0.0,0.0
0.49485,0.01127,0.00788,0.98,0.00048,2.77848,0.83203,6.25394,0.27581,1.44739,0.01753,0.62411,0.45084,0.0,0.09544,0.52354,0.0,0.0,0.0,0.68908,1.0,0.0,0.0
0.57353,0.01135,0.0076,0.95032,0.00044,2.56582,0.9125,6.25394,0.34693,1.48654,0.01749,0.65623,0.45084,0.0,0.11218,0.6449,0.0,0.0,0.0,0.62903,1.0,0.0,0.0
0.54593,0.00988,0.00972,0.9324,0.0005,2.9643,0.78819,7.38215,0.5,1.499,0.01499,0.70774,0.4,0.0,0.1,0.50061,0.0,0.0,0.0,0.49929,1.0,0.0,0.0
0.52108,0.01278,0.00624,0.95657,0.0005,3.05245,0.81333,6.25394,0.27581,1.49276,0.01304,0.64979,0.3867,0.0,0.09292,0.51572,0.0,0.0,0.0,0.69029,1.0,0.0,0.0
0.44925,0.01207,0.00451,0.97086,0.00045,2.55193,0.9125,4.5766,0.3538,1.48654,0.01749,0.68317,0.48083,0.0,0.09,0.61351,0.0,0.0,0.0,0.6382,0.88378,0.0,0.0
0.51392,0.011,0.0076,0.95032,0.00044,2.77334,0.95,6.041,0.29327,1.46801,0.01572,0.5884,0.45084,0.0,0.11543,0.71453,0.0,0.0,0.0,0.63557,0.97832,0.0,0.0
0.56927,0.01159,0.01,0.91579,0.00045,2.89322,0.76042,7.5,0.48703,1.9414,0.01665,0.72592,0.37686,0.0,0.11671,0.5,0.0,0.0,0.0,0.5,0.96413,0.0,0.0
0.57558,0.01117,0.01,0.937,0.0005,2.63988,0.74416,7.487,0.51507,1.5,0.01467,0.73694,0.32805,0.0,0.09536,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.50536,0.00958,0.01048,0.9419,0.0005,2.69908,0.8,8.78421,0.38294,1.5,0.015,0.66901,0.4,0.0,0.0918,0.49497,0.0,0.0,0.0,0.50578,0.88288,0.0,0.0
0.61376,0.00988,0.01002,0.937,0.0005,2.99525,0.8,7.48662,0.5,1.49686,0.015,0.7,0.4,0.0,0.09941,0.5,0.0,0.0,0.0,0.5,0.99918,0.0,0.0
0.50616,0.00998,0.01007,0.93989,0.0005,2.96723,0.79696,7.65126,0.50473,1.46243,0.01521,0.68772,0.4,0.0,0.09945,0.50594,0.0,0.0,0.0,0.5,0.99918,0.0,0.0
0.55413,0.00988,0.01014,0.937,0.0005,2.64198,0.80902,7.48662,0.49474,1.49686,0.01479,0.7737,0.41622,0.0,0.09363,0.54489,0.0,0.0,0.0,0.49234,0.90785,0.0,0.0
0.55031,0.00978,0.01006,0.94869,0.0005,3.0,0.77065,7.49528,0.50934,1.50984,0.01505,0.7041,0.40024,0.0,0.09797,0.5035,0.0,0.0,0.0,0.50423,1.0,0.0,0.0
0.52589,0.00851,0.00966,0.98,0.00039,2.50406,0.62158,8.78974,0.36812,1.25748,0.01505,0.69761,0.41533,0.0,0.08943,0.42666,0.0,0.0,0.0,0.57523,1.0,0.0,0.0
0.56956,0.00869,0.01089,0.98,0.00047,3.74693,0.90916,7.48662,0.3458,1.49686,0.015,0.76653,0.28174,0.0,0.11835,0.57629,0.0,0.0,0.0,0.64506,0.8627,0.0,0.0
0.53982,0.01262,0.01,0.937,0.00054,2.90146,0.8,7.5,0.45621,1.67457,0.015,0.77342,0.444,0.0,0.0889,0.49916,0.0,0.0,0.0,0.68076,1.0,0.0,0.0
